Index,Timestamp,RefP,X,Y,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagnetoX,MagnetoY,MagnetoZ,etn-scm-iot_b8:27:eb:29:0f:19,eduroam_c8:b5:ad:f3:6b:70,eduroam_c8:b5:ad:f3:6b:60,eduroam_c8:b5:ad:f3:69:c0,eduroam_c8:b5:ad:f3:69:d0,eduroam_84:d4:7e:5f:70:70,ClickShare-1862482789_9c:2f:9d:5f:1e:ad,eduroam_f0:5c:19:c3:5d:a0,eduroam_84:d4:7e:5f:70:60,eduroam_c8:b5:ad:f3:73:20,_be:53:22:90:2f:a7,eduroam_cc:88:c7:03:a4:a0,_7e:cb:24:39:04:02,TP-Link_2FA8_9c:53:22:90:2f:a7,eduroam_cc:d0:83:a0:c3:b0,eduroam_cc:88:c7:03:a4:b0,Tenda_62F1A0_d8:32:14:62:f1:a1,xc_82:88:2e:8f:63:24,eduroam_24:f2:7f:9a:e9:d0,DIRECT-BK_02:e0:db:d8:39:a9,eduroam_cc:d0:83:a0:e0:a0,eduroam_cc:d0:83:a0:e0:b0,vX,vY,Orientation
22,04:50:49:84,NaN,0.0,0.8142857142857143,-0.7241606284265296,0.6379392834474371,0.20060723705245048,-0.10457826374135254,-0.050818258273291075,0.07260999215290288,-4.0875,-28.48125,-32.381252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
23,04:50:49:95,NaN,0.0,0.9214285714285714,-0.7160769587759491,0.6486325751395163,0.15648630802354285,-0.09313747796426895,-0.041278866592370685,0.06859059970996714,-6.1875005,-27.7875,-30.73125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
24,04:50:50:07,NaN,0.0,1.0285714285714285,-0.7038842375695111,0.6680967548426742,0.11496376406798962,-0.07922634187992687,-0.031051969233114828,0.062127833005832495,-4.8,-27.468752,-31.875002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
25,04:50:50:18,NaN,0.0,1.1357142857142857,-0.6905817177334043,0.6947549673264111,0.08207216212700101,-0.06466889020345691,-0.021451438202664312,0.05436079421788302,-5.4,-26.175001,-32.193752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
26,04:50:50:29,NaN,0.0,1.2428571428571429,-0.6784912286375857,0.7284422523232046,0.06122467016498734,-0.051022340436486346,-0.013454158961568067,0.0463121667719457,-3.9562502,-28.050001,-32.550003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
27,04:50:50:43,NaN,0.0,1.35,-0.6690406906665319,0.7700013155262406,0.054760445446234665,-0.039444404206247584,-0.007571971093192823,0.03862489539092605,-1.2,-30.075,-31.406252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
28,04:50:50:57,NaN,0.0,1.457142857142857,-0.6627934039484938,0.8192420795351851,0.06315269428187328,-0.030582276514181217,-0.00393422384660872,0.03139955419257201,-2.34375,-29.643751,-31.237501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
29,04:50:50:70,NaN,0.0,1.564285714285714,-0.6596504417875053,0.8740405541623077,0.08249875137845059,-0.024642906155041555,-0.0025984465699046538,0.02418050938918525,-0.69375,-32.568752,-30.2625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
30,04:50:50:84,NaN,0.0,1.6714285714285713,-0.6589584045323157,0.9318049755837389,0.1042898829931609,-0.02160443808816779,-0.003588227211106533,0.016220836763627663,-1.4250001,-32.268753,-30.91875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
31,04:50:50:98,NaN,0.0,1.7785714285714285,-0.6593071844060888,0.9907228490661678,0.11891462701889154,-0.021278717889712053,-0.006693139189888337,0.006978937901933503,-3.1125002,-32.287502,-30.91875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
32,04:50:51:12,NaN,0.0,1.8857142857142857,-0.6588014560217361,1.0487994637046443,0.12051417972972772,-0.02323337464346816,-0.011514754581962109,-0.003471523891871618,-5.45625,-34.050003,-30.281252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
33,04:50:51:34,NaN,0.0,1.9928571428571429,-0.6560918865823663,1.1024588044400783,0.10890729443705192,-0.026852355840581717,-0.017629165435203598,-0.014415787077535705,-7.05,-31.743752,-29.268751,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
34,04:50:51:38,2.0,0.0,2.1,-0.6510134443718475,1.1473519102522605,0.08680345390160286,-0.03161634402254115,-0.0246820583465807,-0.024739486585116235,-7.6125,-31.893751,-29.775002,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
35,04:50:51:47,NaN,0.0,2.2285714285714286,-0.644392284030418,1.1808297845203546,0.05662474221506592,-0.03733326704333167,-0.03255055048078571,-0.03318108280116507,-7.5750003,-33.787502,-29.775002,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
36,04:50:51:58,NaN,0.0,2.357142857142857,-0.6377068011155173,1.2033091256975263,0.021036499366192923,-0.04399982657442843,-0.04135701264531498,-0.03861293805060341,-8.175,-32.193752,-29.94375,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
37,04:50:51:70,NaN,0.0,2.4857142857142858,-0.6325908129181159,1.2170712838362008,-0.014969847057060058,-0.05155641505928779,-0.05120205491330254,-0.04039418127166276,-7.6687503,-33.525,-27.300001,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
38,04:50:51:81,NaN,0.0,2.6142857142857143,-0.6299962492255746,1.2234561797347483,-0.04470599831505747,-0.05985805519693734,-0.06190322311202738,-0.03860605662757222,-7.6875005,-34.21875,-29.625002,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
39,04:50:51:93,NaN,0.0,2.742857142857143,-0.6298855578041422,1.2212263086889397,-0.06285038400192637,-0.06862477800885247,-0.07283347416354816,-0.033969064671190013,-6.2625003,-34.95,-28.800001,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
40,04:50:52:07,NaN,0.0,2.8714285714285714,-0.6316941328695883,1.2077767374465893,-0.0675200705652123,-0.07723898977624649,-0.08280341980015034,-0.02756632065508606,-6.3,-33.91875,-30.45,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
41,04:50:52:17,3.0,0.0,3.0,-0.634687202926009,1.1815902732722978,-0.060540806511849864,-0.08464537650891295,-0.09017133614009244,-0.020602200264816573,-5.7937503,-36.54375,-28.987501,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
42,04:50:52:19,NaN,0.0,3.1153846153846154,-0.6380358313619946,1.1440789416437056,-0.046567934545012256,-0.08962203774240214,-0.09335727579244647,-0.014206972414543394,-5.2875004,-35.643753,-30.468752,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
43,04:50:52:31,NaN,0.0,3.230769230769231,-0.6409032867045995,1.1000069817780997,-0.030503790174096046,-0.09123279509117858,-0.0914959746616298,-0.009238426210204813,-8.4375,-33.487503,-30.768751,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
44,04:50:52:43,NaN,0.0,3.3461538461538463,-0.642759907467599,1.0555036913779665,-0.014357723669197681,-0.089049909617997,-0.08476128811231985,-0.006067425666361746,-10.856251,-32.49375,-30.768751,-77.0,-80.0,-84.0,-84.0,-85.0,-86.0,-91.0,-91.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0
